ISIN,FISN,CFI,DTI,Linked DTI(s),DTI Long Name,DTI Short Name,DTI Status,Type,Added Date,Amended Date
XTV15WLZJMF0,BITCOIN/BTC,TMXXXX,V15WLZJMF,4H95J0R2X;K1NS41N51,Bitcoin,BTC;XBT,Validated,Referential Instrument,10/31/23,9/4/24
XTZ1K7V8BV86,WRAPPED BTC/WBTC,TMXXXX,Z1K7V8BV8,ZN227BVRW,Wrapped BTC,WBTC,Validated,Referential Instrument,9/4/24,9/4/24
XTL09Q657BK6,USD TETHER/USDT,TMXXXX,L09Q657BK,NSTDLD1N5;29DD3R2SH;2QWSBDMNC;C9N6ZVN7S;6QBMW6DQZ;NJ7X4BCTD;TZFM5MHWR;HRTC9BR9W;FFFV6CVVF;BP2R7MGQH;5CMGWLV2M;7X00GGTK7,USD Tether,USDT,Validated,Referential Instrument,10/31/23,9/1/25
XT8N2VXJKB15,BINANCE COIN/BNB,TMXXXX,8N2VXJKB1,HWRGLMT9T;T4FV9055Q,Binance Coin,BNB,Validated,Referential Instrument,10/31/23,6/27/25
XTD5RG2FHH04,ETHEREUM ETHER/ETH,TMXXXX,D5RG2FHH0,X9J9K872S,Ethereum Eth,ETH,Validated,Referential Instrument,10/31/23,11/25/25
XT76W7R1LKQ2,WRAPPED ETHER/WETH,TMXXXX,76W7R1LKQ,V2N9ZRBHG,Wrapped Ether,WETH,Validated,Referential Instrument,9/4/24,9/4/24
XTTJWK5QTRK6,USDC/USDC,TMXXXX,TJWK5QTRK,7NZRGQZ87;J2TPM5RFQ;56V43DKZ3;MKC04VFBQ;VXJX1WW6V;RN81GQLBH;QQKDMF6N9;TSLS4S9R8;P7H2X1B9H;CK9PW1MFH;M8G59S1ZR;5R3XFPZSM;DWBBXD2F1;XTS66R22W;45J6XJX7H;4ZSZS1F4F;LS71LQK3L;898NNTPZJ;CP6817N4B;2ZTG3NNVB;FXZLG37L6;W2PQJJCPM;54VFN74B3;6BGZTT6GF;RWPZZPR7C;T6TQ8GN7L;S28NDWCSX;R3SV04GX9;SKXZGD4J8;GN9M0Z238;N064ZKXDM,USDC,USDC,Validated,Referential Instrument,10/31/23,10/22/25
XT42PHJB2BS0,RIPPLE XRP/XRP,TMXXXX,42PHJB2BS,L6GTZC9G4;J815X0DG2;F2FP5N8RD,Ripple XRP,XRP,Validated,Referential Instrument,10/31/23,10/31/23
XT76QS7QCXB8,CARDANO ADA/ADA,TMXXXX,76QS7QCXB,HWGL1C2CK,Cardano ADA,ADA,Validated,Referential Instrument,10/31/23,5/30/25
XT35PLJP6J74,DOGECOIN/DOGE,TMXXXX,35PLJP6J7,820B7G1NL,Dogecoin,DOGE,Validated,Referential Instrument,4/15/25,4/15/25
XTGB8DQ8DWN1,POLYGON POL/POL,TMXXXX,GB8DQ8DWN,HGMF3TRBK;RQWW6J6K0;612RCQLCX,Polygon POL ,MATIC;POL,Validated,Referential Instrument,10/31/23,9/4/24
XT6QZ1LNC129,SOLANA SOL/SOL,TMXXXX,6QZ1LNC12,20J63Z4N3,Solana SOL,SOL,Validated,Referential Instrument,10/31/23,9/4/24
XTZDC9H2MG23,WRAPPED SOL/SOL,TMXXXX,ZDC9H2MG2,6SKD2VM16,Wrapped SOL,SOL,Validated,Referential Instrument,9/4/24,9/4/24
XTD74JZ1VRD1,LITECOIN/LTC,TMXXXX,D74JZ1VRD,WTX0G7K46,Litecoin,LTC,Validated,Referential Instrument,10/31/23,4/2/25
XTN9BNP470B6,LITECOIN/LTC,TMXXXX,N9BNP470B,G8HDVQ7QL,Litecoin Token,LTC,Provisional,Referential Instrument,4/2/25,4/2/25
XTHZ9HHNPLG8,TRON TRX/TRX,TMXXXX,HZ9HHNPLG,993D8X1FB;6PF7WDK49;523PVPHKS,TRON TRX,TRX;WTRX,Validated,Referential Instrument,10/31/23,10/31/23
XTSGD9NLTRG0,POLKADOT DOT/DOT,TMXXXX,SGD9NLTRG,P5B46MFPP;N3TLFXRZL;KNPTB87Q5,Polkadot DOT,DOT,Validated,Referential Instrument,12/14/23,8/5/25
XTBSF74H7GR2,BINANCE USD/BUSD,TMXXXX,BSF74H7GR,FDBG7XVCM;MJ4JJGJ97;DDWNJQZZH;HRBN31W17;BDFVNSJD2;T8HCTG9W6;41W3DC2R4;FKKWRNHCR;N5V23LD36;K1C66DC54;P4RFKKQJ3;TN24N8PPF;BQJ7NS9XT;DW08QJR6K,Binance USD,BUSD,Validated,Referential Instrument,10/31/23,7/15/25
